縣市,行政區別,村里別,合一行動聯盟,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,不分區政黨有效票數A
花蓮縣,光復鄉,北富村,6,2,2,8,0,126,32,2,2,0,4,8,24,2,18,40,8,0,820,1104
花蓮縣,光復鄉,南富村,10,4,0,14,2,134,30,10,0,2,6,8,26,8,32,22,2,0,732,1042
花蓮縣,光復鄉,大全村,2,2,2,2,2,210,42,2,0,2,6,8,36,6,6,28,10,2,518,886
花蓮縣,光復鄉,大同村,2,4,2,12,6,244,78,4,2,2,0,16,52,4,18,62,20,2,724,1254
花蓮縣,光復鄉,大安村,0,0,0,20,0,262,74,0,0,0,8,4,50,4,20,66,8,4,622,1142
花蓮縣,光復鄉,大富村,2,2,0,4,2,100,30,0,0,2,4,4,18,4,2,10,6,2,168,360
花蓮縣,光復鄉,大平村,8,0,8,8,4,184,52,0,0,2,8,6,18,18,4,50,12,8,758,1148
花蓮縣,光復鄉,大興村,8,0,2,8,2,62,18,0,0,0,0,6,16,4,10,20,6,0,362,524
花蓮縣,光復鄉,大華村,2,8,6,30,4,444,110,4,2,4,12,12,44,12,30,66,4,2,836,1632
花蓮縣,光復鄉,大豐村,0,10,2,2,0,126,18,0,2,0,6,2,14,4,6,28,6,6,260,492
花蓮縣,光復鄉,大進村,0,2,4,6,0,118,26,2,0,0,4,6,14,6,14,18,4,0,376,600
花蓮縣,光復鄉,大馬村,4,6,2,10,0,160,50,2,2,4,10,4,36,24,8,36,16,2,766,1142
花蓮縣,光復鄉,東富村,10,0,2,10,0,106,32,0,2,2,2,12,32,6,12,46,0,0,858,1132
花蓮縣,光復鄉,西富村,4,6,2,8,2,178,44,0,0,2,4,6,38,6,18,46,6,0,738,1108
花蓮縣,卓溪鄉,卓清村,2,0,4,8,2,80,38,0,2,0,2,4,20,20,4,24,18,2,882,1112
花蓮縣,卓溪鄉,卓溪村,2,2,6,20,0,86,46,2,0,0,6,4,20,10,6,30,14,2,624,880
花蓮縣,卓溪鄉,古風村,0,0,2,8,2,98,20,0,2,0,4,10,20,8,6,30,22,12,832,1076
花蓮縣,卓溪鄉,太平村,0,2,0,10,2,62,20,2,0,2,4,6,14,2,8,14,4,0,660,812
花蓮縣,卓溪鄉,崙山村,0,2,0,4,2,44,18,0,2,4,4,6,18,0,2,24,4,2,438,574
花蓮縣,卓溪鄉,立山村,2,4,2,6,4,150,28,0,0,2,4,8,22,10,10,40,2,6,810,1110
花蓮縣,吉安鄉,仁和村,14,22,2,100,22,1240,478,4,2,18,24,30,292,50,80,324,54,14,3034,5804
花蓮縣,吉安鄉,仁安村,6,8,0,38,2,728,288,4,0,4,12,18,126,20,42,178,42,6,1528,3050
花蓮縣,吉安鄉,仁里村,10,18,10,158,22,1760,710,4,6,10,28,44,276,70,132,470,92,6,4586,8412
花蓮縣,吉安鄉,光華村,2,4,0,52,0,408,192,0,0,8,8,58,94,20,34,108,28,6,1582,2604
花蓮縣,吉安鄉,勝安村,2,26,4,178,20,1662,708,12,4,16,26,12,254,34,156,508,80,10,3286,6998
花蓮縣,吉安鄉,北昌村,2,38,12,232,10,2370,1056,0,2,22,20,26,388,76,200,684,130,18,4900,10186
花蓮縣,吉安鄉,南昌村,10,8,2,110,10,1098,492,4,6,34,14,24,188,38,108,270,66,14,3034,5530
花蓮縣,吉安鄉,南華村,6,8,2,32,6,646,128,0,0,4,12,10,54,42,48,90,30,4,970,2092
花蓮縣,吉安鄉,吉安村,8,18,2,150,10,1600,606,0,2,10,14,30,272,50,174,490,108,6,3726,7276
花蓮縣,吉安鄉,太昌村,16,4,10,80,20,1190,420,2,8,8,10,38,166,20,106,378,80,10,2332,4898
花蓮縣,吉安鄉,宜昌村,4,8,6,116,4,1206,446,0,0,6,12,16,200,22,94,350,80,10,2838,5418
花蓮縣,吉安鄉,干城村,6,2,0,26,2,214,82,2,2,0,0,6,38,18,16,56,38,0,922,1430
花蓮縣,吉安鄉,慶豐村,6,26,14,184,16,2210,976,4,4,16,18,26,298,62,200,676,108,6,4766,9616
花蓮縣,吉安鄉,東昌村,14,8,10,142,16,1470,632,4,2,26,20,22,282,48,128,428,66,8,4240,7566
花蓮縣,吉安鄉,永安村,4,8,2,106,6,1392,530,4,2,16,26,4,206,44,118,370,74,6,2944,5862
花蓮縣,吉安鄉,永興村,8,10,6,64,12,746,304,4,0,6,12,32,138,40,48,190,22,8,2066,3716
花蓮縣,吉安鄉,福興村,2,4,10,88,10,1084,404,2,2,10,14,26,138,24,44,276,36,10,1916,4100
花蓮縣,吉安鄉,稻香村,10,22,4,100,18,896,344,2,4,16,14,24,144,36,74,342,56,10,2270,4386
花蓮縣,壽豐鄉,光榮村,2,2,2,26,4,148,64,4,0,0,2,6,18,2,10,26,6,2,786,1110
花蓮縣,壽豐鄉,共和村,2,2,6,24,2,238,62,0,2,4,4,0,18,16,22,66,32,6,526,1032
花蓮縣,壽豐鄉,壽豐村,12,8,4,26,2,516,138,0,0,6,4,14,52,8,34,116,26,14,1138,2118
花蓮縣,壽豐鄉,平和村,2,4,6,20,12,502,140,4,0,8,12,12,46,12,32,88,6,4,996,1906
花蓮縣,壽豐鄉,志學村,0,2,4,72,10,922,290,6,0,8,24,10,116,34,88,224,38,12,1544,3404
花蓮縣,壽豐鄉,月眉村,2,6,0,6,0,134,40,0,0,2,2,6,22,4,8,32,2,4,770,1040
花蓮縣,壽豐鄉,樹湖村,0,4,4,6,4,124,26,4,2,2,6,0,10,0,8,24,4,0,246,474
花蓮縣,壽豐鄉,水璉村,8,2,0,2,2,174,20,0,0,0,4,10,18,8,8,30,10,2,572,870
花蓮縣,壽豐鄉,池南村,0,0,0,12,2,272,56,6,2,2,6,2,42,8,8,34,6,0,556,1014
花蓮縣,壽豐鄉,溪口村,6,2,4,6,6,272,62,8,0,2,10,18,24,24,14,54,8,10,764,1294
花蓮縣,壽豐鄉,米棧村,0,4,0,4,0,62,4,0,0,0,2,2,2,6,4,10,2,2,238,342
花蓮縣,壽豐鄉,豐坪村,2,2,2,20,0,214,82,2,0,6,14,10,44,2,10,50,16,2,640,1118
花蓮縣,壽豐鄉,豐山村,10,10,6,30,6,634,152,4,6,2,12,4,50,10,32,94,24,6,1242,2334
花蓮縣,壽豐鄉,豐裡村,0,6,2,18,2,408,116,2,0,16,8,12,60,12,26,106,20,2,984,1800
花蓮縣,壽豐鄉,鹽寮村,0,0,4,8,2,132,26,0,0,0,0,6,38,2,12,38,12,0,368,648
花蓮縣,富里鄉,吳江村,0,2,2,2,2,100,28,2,0,0,10,4,12,0,4,6,2,2,316,494
花蓮縣,富里鄉,學田村,6,0,0,6,4,238,40,0,2,8,6,2,12,2,8,16,6,2,410,768
花蓮縣,富里鄉,富南村,0,0,4,4,0,150,26,2,0,0,10,2,14,2,12,8,6,0,288,528
花蓮縣,富里鄉,富里村,2,8,0,20,0,380,78,18,6,8,8,16,52,4,42,52,10,0,844,1548
花蓮縣,富里鄉,新興村,4,0,2,6,2,128,22,2,0,4,6,2,10,6,6,16,2,2,330,550
花蓮縣,富里鄉,明里村,2,0,0,4,0,80,18,16,0,2,2,2,6,2,2,16,4,2,244,402
花蓮縣,富里鄉,東里村,0,2,2,18,6,228,70,16,0,0,8,8,46,4,8,40,14,0,490,960
花蓮縣,富里鄉,永豐村,2,4,0,6,2,128,24,0,6,0,4,0,14,0,8,6,2,0,292,498
花蓮縣,富里鄉,石牌村,2,4,4,14,0,246,50,4,4,2,4,2,18,0,8,36,6,0,624,1028
花蓮縣,富里鄉,竹田村,0,2,0,18,4,196,62,0,2,2,12,4,28,4,22,48,20,0,852,1276
花蓮縣,富里鄉,羅山村,0,2,0,8,2,90,38,0,0,2,4,0,26,2,4,26,4,2,256,466
花蓮縣,富里鄉,萬寧村,6,0,2,6,0,100,28,2,2,2,4,2,22,0,6,22,8,0,434,646
花蓮縣,富里鄉,豐南村,2,4,0,8,2,96,16,0,0,0,2,16,18,4,6,14,14,0,424,626
花蓮縣,新城鄉,佳林村,0,4,2,20,4,272,150,2,2,2,6,2,48,12,22,86,8,0,694,1336
花蓮縣,新城鄉,北埔村,6,18,14,66,10,1034,432,2,2,8,10,16,216,50,82,316,42,8,2814,5146
花蓮縣,新城鄉,嘉新村,6,8,2,14,2,230,70,2,0,4,12,8,54,8,34,68,14,0,1040,1576
花蓮縣,新城鄉,嘉里村,2,16,6,70,6,856,524,8,2,6,20,18,188,28,82,326,40,8,2764,4970
花蓮縣,新城鄉,大漢村,4,6,4,52,2,474,260,2,4,4,12,22,120,28,64,138,32,2,2126,3356
花蓮縣,新城鄉,康樂村,8,4,6,36,2,730,198,0,4,8,16,10,108,16,50,128,10,10,1910,3254
花蓮縣,新城鄉,新城村,0,2,2,16,4,488,136,2,2,10,6,8,92,10,40,62,16,6,890,1792
花蓮縣,新城鄉,順安村,2,4,0,10,10,540,60,4,2,2,2,0,38,0,14,44,6,2,478,1218
花蓮縣,玉里鎮,三民里,6,0,2,8,0,330,50,2,0,2,10,14,22,6,6,22,4,2,488,974
花蓮縣,玉里鎮,中城里,10,16,8,112,12,1494,468,4,8,2,50,20,194,82,126,402,68,16,3432,6524
花蓮縣,玉里鎮,啟模里,2,2,6,28,2,402,112,4,4,2,10,6,78,10,32,98,10,8,1050,1866
花蓮縣,玉里鎮,國武里,2,0,2,20,4,374,124,2,2,4,4,4,46,8,28,102,6,8,852,1592
花蓮縣,玉里鎮,大禹里,0,0,2,16,2,224,80,0,0,0,6,14,54,4,8,60,16,4,684,1174
花蓮縣,玉里鎮,德武里,4,2,2,4,0,62,26,0,0,0,2,6,8,4,6,12,2,0,652,792
花蓮縣,玉里鎮,春日里,8,2,10,8,2,186,26,4,0,0,10,10,16,4,10,16,6,2,604,924
花蓮縣,玉里鎮,東豐里,0,4,4,2,2,118,14,2,2,2,6,4,32,4,16,16,0,2,336,566
