行政區別,村里別,俞慧君,傅國淵,吳建志,吳東昇,張峻,張懷文,張正治,張美慧,徐子芳,徐雪玉,施金樹,李秋旺,林宗昆,林文松,林源富,楊華美,沈君茹,洪士閔,游美雲,游象蓁,潘月霞,王燕美,王能昌,莊建威,莊枝財,葉鯤璟,蔡啟塔,蘇金勝,謝國榮,謝金城,邱光明,郭應義,鄭寶秀,錢自立,陳棟樑,陳銘文,魏嘉彥,黃振富,黃文成,黃玲蘭,黃馨,俞慧君_黨籍,傅國淵_黨籍,吳建志_黨籍,吳東昇_黨籍,張峻_黨籍,張懷文_黨籍,張正治_黨籍,張美慧_黨籍,徐子芳_黨籍,徐雪玉_黨籍,施金樹_黨籍,李秋旺_黨籍,林宗昆_黨籍,林文松_黨籍,林源富_黨籍,楊華美_黨籍,沈君茹_黨籍,洪士閔_黨籍,游美雲_黨籍,游象蓁_黨籍,潘月霞_黨籍,王燕美_黨籍,王能昌_黨籍,莊建威_黨籍,莊枝財_黨籍,葉鯤璟_黨籍,蔡啟塔_黨籍,蘇金勝_黨籍,謝國榮_黨籍,謝金城_黨籍,邱光明_黨籍,郭應義_黨籍,鄭寶秀_黨籍,錢自立_黨籍,陳棟樑_黨籍,陳銘文_黨籍,魏嘉彥_黨籍,黃振富_黨籍,黃文成_黨籍,黃玲蘭_黨籍,黃馨_黨籍
光復鄉,北富村,,,4.0,,108.0,10.0,8.0,,,2.0,,,,,0.0,,4.0,,4.0,,,,8.0,0.0,,20.0,,,,,,,,,2.0,,,16.0,,,4.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,南富村,,,4.0,,64.0,4.0,6.0,,,2.0,,,,,6.0,,2.0,,2.0,,,,4.0,4.0,,12.0,,,,,,,,,6.0,,,4.0,,,2.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大全村,,,26.0,,320.0,58.0,46.0,,,40.0,,,,,14.0,,2.0,,28.0,,,,14.0,4.0,,74.0,,,,,,,,,8.0,,,36.0,,,8.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大同村,,,26.0,,546.0,16.0,46.0,,,56.0,,,,,4.0,,10.0,,32.0,,,,30.0,6.0,,16.0,,,,,,,,,18.0,,,26.0,,,34.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大安村,,,10.0,,818.0,38.0,16.0,,,34.0,,,,,22.0,,6.0,,16.0,,,,38.0,8.0,,32.0,,,,,,,,,14.0,,,38.0,,,12.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大富村,,,16.0,,258.0,30.0,4.0,,,18.0,,,,,18.0,,12.0,,20.0,,,,2.0,0.0,,16.0,,,,,,,,,4.0,,,12.0,,,6.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大平村,,,14.0,,244.0,12.0,12.0,,,12.0,,,,,2.0,,0.0,,10.0,,,,4.0,2.0,,0.0,,,,,,,,,2.0,,,18.0,,,2.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大興村,,,20.0,,222.0,2.0,16.0,,,6.0,,,,,16.0,,4.0,,16.0,,,,20.0,10.0,,22.0,,,,,,,,,2.0,,,14.0,,,2.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大華村,,,26.0,,814.0,54.0,36.0,,,44.0,,,,,48.0,,4.0,,26.0,,,,24.0,14.0,,32.0,,,,,,,,,6.0,,,74.0,,,28.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
光復鄉,大豐村,,,10.0,,268.0,10.0,28.0,,,36.0,,,,,48.0,,6.0,,48.0,,,,6.0,4.0,,32.0,,,,,,,,,6.0,,,22.0,,,4.0,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨
