縣市,行政區別,村里別,民主進步黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,不分區政黨有效票數A
花蓮縣,壽豐鄉,光榮村,176,12,42,0,6,2,4,18,4,0,52,0,12,2,10,10,2,564,916
花蓮縣,壽豐鄉,共和村,186,14,36,0,2,0,4,28,0,6,48,4,6,6,14,32,0,314,700
花蓮縣,壽豐鄉,壽豐村,606,30,54,2,38,0,10,48,10,14,128,2,10,24,24,52,6,756,1814
花蓮縣,壽豐鄉,平和村,616,34,58,2,10,4,2,46,2,2,112,4,6,14,42,48,0,592,1594
花蓮縣,壽豐鄉,志學村,1006,76,146,4,118,16,12,82,10,14,204,10,14,14,28,66,14,1042,2876
花蓮縣,壽豐鄉,月眉村,144,6,16,0,6,2,0,42,0,4,60,2,20,0,20,12,4,516,854
花蓮縣,壽豐鄉,樹湖村,134,16,6,0,4,0,0,4,2,4,22,0,4,2,14,8,2,172,394
花蓮縣,壽豐鄉,水璉村,204,20,56,2,4,0,2,22,8,0,60,4,14,0,12,12,2,414,836
花蓮縣,壽豐鄉,池南村,278,16,42,0,2,4,6,20,8,0,78,4,10,2,8,24,4,400,906
花蓮縣,壽豐鄉,溪口村,326,20,40,0,12,4,0,20,6,0,72,4,12,12,10,60,14,490,1102
花蓮縣,壽豐鄉,米棧村,48,0,16,0,4,2,0,8,0,0,22,0,6,8,0,2,2,174,292
花蓮縣,壽豐鄉,豐坪村,230,26,38,0,30,6,2,28,4,14,68,8,4,6,14,2,6,456,942
花蓮縣,壽豐鄉,豐山村,756,38,66,10,28,16,4,56,12,10,146,6,4,14,36,24,12,872,2110
花蓮縣,壽豐鄉,豐裡村,468,20,50,4,30,0,0,56,6,0,130,12,4,14,24,24,4,658,1504
花蓮縣,壽豐鄉,鹽寮村,126,14,16,0,16,0,12,30,2,2,54,0,0,0,10,10,2,262,556
花蓮縣,富里鄉,吳江村,114,6,14,0,2,4,2,2,6,0,32,2,0,2,6,4,2,252,450
花蓮縣,富里鄉,學田村,284,18,6,2,12,4,0,8,4,10,48,2,2,4,10,2,0,272,688
花蓮縣,富里鄉,富南村,154,10,6,0,4,2,4,4,0,0,44,0,4,2,8,6,0,212,460
花蓮縣,富里鄉,富里村,460,22,38,2,26,4,2,22,4,12,102,8,0,2,12,14,10,640,1380
花蓮縣,富里鄉,新興村,140,16,10,0,0,0,2,32,4,2,14,2,2,6,2,14,0,296,542
花蓮縣,富里鄉,明里村,132,10,8,0,2,2,0,8,4,0,28,2,4,10,2,4,2,174,392
花蓮縣,富里鄉,東里村,264,26,14,0,4,4,0,26,2,8,60,4,4,4,14,4,0,438,876
花蓮縣,富里鄉,永豐村,126,4,10,2,2,2,0,6,0,4,36,0,6,2,4,2,2,248,456
花蓮縣,富里鄉,石牌村,262,22,20,0,12,4,0,14,0,8,58,4,6,0,12,10,2,438,872
花蓮縣,富里鄉,竹田村,232,20,22,0,20,2,2,52,6,4,52,0,8,0,8,16,4,652,1100
花蓮縣,富里鄉,羅山村,100,8,10,0,10,6,0,16,6,2,46,0,4,2,8,2,0,218,438
花蓮縣,富里鄉,萬寧村,118,2,4,0,2,6,2,10,2,0,26,2,2,0,8,10,2,350,546
花蓮縣,富里鄉,豐南村,110,4,18,0,4,0,0,6,0,6,34,2,6,2,4,6,2,366,570
花蓮縣,新城鄉,佳林村,300,18,54,2,14,4,8,26,8,22,102,8,4,10,14,36,16,420,1066
花蓮縣,新城鄉,北埔村,1048,44,160,0,90,12,16,140,10,26,352,10,22,46,74,138,26,1728,3942
花蓮縣,新城鄉,嘉新村,280,14,40,2,8,0,10,50,4,2,116,8,18,8,12,12,8,762,1354
花蓮縣,新城鄉,嘉里村,882,66,162,2,70,10,8,148,8,10,390,10,18,110,72,122,28,1948,4064
花蓮縣,新城鄉,大漢村,510,28,94,2,56,4,10,100,8,8,242,12,22,26,42,76,8,1466,2714
花蓮縣,新城鄉,康樂村,834,34,68,4,62,8,10,72,12,20,240,12,8,30,22,94,14,1178,2722
花蓮縣,新城鄉,新城村,590,16,52,4,18,8,6,42,8,6,128,4,2,2,24,24,4,630,1568
花蓮縣,新城鄉,順安村,580,14,18,4,6,2,8,16,4,4,56,4,24,6,8,14,6,312,1086
花蓮縣,玉里鎮,三民里,414,18,10,0,16,2,0,12,2,0,58,8,6,2,16,4,4,310,882
花蓮縣,玉里鎮,中城里,1684,114,202,4,122,16,14,162,14,24,414,12,14,44,40,220,28,2406,5534
花蓮縣,玉里鎮,啟模里,512,42,38,4,32,6,4,56,10,6,146,2,4,14,16,40,8,746,1686
花蓮縣,玉里鎮,國武里,456,22,56,2,24,2,2,54,0,12,134,2,0,12,18,50,6,602,1454
花蓮縣,玉里鎮,大禹里,310,16,20,0,6,0,8,16,6,0,78,6,8,8,30,14,20,478,1024
花蓮縣,玉里鎮,德武里,60,2,30,0,0,0,0,6,2,8,38,2,10,6,6,10,4,420,604
花蓮縣,玉里鎮,春日里,226,16,86,2,8,0,14,4,4,0,62,2,6,18,14,22,72,394,950
花蓮縣,玉里鎮,東豐里,154,8,4,2,0,4,2,8,2,0,42,6,0,8,12,4,0,282,538
花蓮縣,玉里鎮,松浦里,272,4,52,2,8,10,8,8,8,2,66,2,20,16,24,22,16,680,1220
花蓮縣,玉里鎮,樂合里,174,12,34,0,8,0,0,8,2,4,72,8,12,4,30,6,4,630,1008
花蓮縣,玉里鎮,永昌里,302,22,38,2,26,4,6,44,2,12,92,2,6,4,20,36,26,568,1212
花蓮縣,玉里鎮,泰昌里,214,14,26,2,24,4,2,46,6,6,70,2,4,6,16,36,32,576,1086
花蓮縣,玉里鎮,源城里,394,32,26,2,14,2,4,24,6,4,148,8,8,4,16,10,2,580,1284
花蓮縣,玉里鎮,觀音里,328,18,58,2,18,4,2,30,10,0,136,2,8,22,16,76,6,696,1432
花蓮縣,玉里鎮,長良里,122,4,10,0,4,2,4,8,4,0,32,4,10,4,8,2,2,336,556
花蓮縣,瑞穗鄉,奇美村,40,20,16,0,0,0,0,4,0,0,30,0,2,2,0,8,0,190,312
花蓮縣,瑞穗鄉,富民村,92,8,30,0,8,4,2,6,4,0,60,4,24,2,8,12,0,498,762
花蓮縣,瑞穗鄉,富源村,224,10,24,0,6,2,0,16,0,2,46,2,12,0,4,10,0,352,710
花蓮縣,瑞穗鄉,富興村,268,32,22,2,4,2,2,2,0,6,52,0,18,4,12,4,4,234,668
花蓮縣,瑞穗鄉,瑞北村,144,8,20,2,14,0,0,12,2,0,42,10,6,0,8,14,4,304,590
花蓮縣,瑞穗鄉,瑞祥村,328,24,56,0,6,0,0,28,0,6,86,2,4,4,10,4,0,462,1020
花蓮縣,瑞穗鄉,瑞穗村,650,46,70,4,24,10,6,64,8,4,134,8,12,16,28,26,12,952,2074
花蓮縣,瑞穗鄉,瑞美村,566,20,68,0,24,18,6,54,2,12,130,6,6,12,34,28,4,912,1902
花蓮縣,瑞穗鄉,瑞良村,178,8,18,0,2,0,6,8,4,0,40,4,0,2,8,6,2,306,592
花蓮縣,瑞穗鄉,舞鶴村,212,20,38,0,8,0,2,12,8,0,80,2,4,8,8,12,8,508,930
花蓮縣,瑞穗鄉,鶴岡村,98,6,10,2,12,0,4,8,2,4,28,6,22,4,10,24,8,546,794
花蓮縣,秀林鄉,佳民村,136,10,30,0,2,4,24,12,0,4,112,6,4,6,16,68,4,570,1008
花蓮縣,秀林鄉,和平村,294,16,46,0,8,2,92,14,2,8,226,0,4,14,30,26,12,560,1354
花蓮縣,秀林鄉,富世村,380,42,46,6,20,2,22,30,10,6,222,2,4,22,36,94,10,834,1788
花蓮縣,秀林鄉,崇德村,176,14,16,2,8,4,32,22,6,2,178,8,2,8,20,20,2,778,1298
花蓮縣,秀林鄉,文蘭村,114,14,44,0,8,2,32,12,8,0,124,0,2,6,20,46,4,712,1148
花蓮縣,秀林鄉,景美村,410,20,36,2,18,10,44,30,10,8,214,6,6,6,46,94,54,818,1832
花蓮縣,秀林鄉,水源村,188,14,32,0,14,4,40,20,10,2,220,8,4,22,22,40,14,610,1264
花蓮縣,秀林鄉,秀林村,320,12,66,6,24,0,48,42,18,2,186,10,12,22,36,80,4,794,1682
花蓮縣,秀林鄉,銅門村,182,12,32,0,42,0,32,18,4,2,140,6,4,2,24,24,6,738,1268
花蓮縣,花蓮市,主信里,296,10,36,2,14,0,2,28,0,6,40,2,2,8,4,14,2,290,756
花蓮縣,花蓮市,主力里,1086,58,148,4,114,8,6,158,12,6,232,6,12,34,26,110,18,1194,3232
花蓮縣,花蓮市,主勤里,362,16,60,0,18,4,2,68,2,4,72,4,10,6,12,28,0,364,1032
花蓮縣,花蓮市,主和里,1280,74,148,2,80,6,6,126,14,12,282,16,14,34,30,100,14,1406,3644
花蓮縣,花蓮市,主商里,330,12,26,2,30,0,2,36,0,6,52,4,4,4,18,22,2,268,818
花蓮縣,花蓮市,主學里,758,22,100,0,40,2,6,84,4,4,160,0,6,18,26,70,6,866,2172
花蓮縣,花蓮市,主安里,868,48,124,2,62,2,12,138,8,18,232,12,2,42,38,62,10,1240,2920
花蓮縣,花蓮市,主工里,270,8,38,0,12,0,2,22,2,2,40,2,2,2,4,16,4,298,724
花蓮縣,花蓮市,主權里,1970,50,252,0,218,4,6,246,30,16,510,20,14,90,60,204,28,2574,6292
花蓮縣,花蓮市,主睦里,270,22,22,0,16,0,4,26,2,6,38,2,0,4,10,12,8,244,686
花蓮縣,花蓮市,主義里,210,0,20,0,18,0,2,22,2,0,52,0,2,8,4,4,0,212,556
花蓮縣,花蓮市,主計里,290,20,38,0,14,4,4,32,2,4,68,2,4,4,18,34,4,370,912
花蓮縣,花蓮市,主農里,1270,60,140,6,122,4,12,140,10,26,338,10,6,60,38,166,26,1790,4224
花蓮縣,花蓮市,國光里,414,20,48,0,36,12,2,68,0,4,98,4,6,24,14,44,4,586,1384
花蓮縣,花蓮市,國威里,666,26,80,4,70,2,8,94,8,6,112,8,0,28,30,80,12,674,1908
花蓮縣,花蓮市,國安里,224,4,40,0,16,2,0,32,0,2,60,0,0,22,8,22,8,258,698
花蓮縣,花蓮市,國富里,1968,112,256,2,146,6,28,272,16,16,440,10,12,92,78,206,32,2304,5996
花蓮縣,花蓮市,國強里,582,20,78,2,44,4,2,94,6,10,198,12,6,28,24,42,8,766,1926
花蓮縣,花蓮市,國慶里,422,20,40,0,26,6,4,50,8,12,110,2,4,4,14,38,0,410,1170
