行政區別,村里別,何禮臺,劉曉玫,吳建志,康木樹,張峻,張智冠,張正治,張錫銘,徐雪玉,方建興,施慧萍,施金樹,李秋旺,林宗昆,林殷全,楊文值,楊華美,江如玲,游淑貞,游美雲,潘富民,王燕美,莊枝財,葉鯤璟,蔡秋龍,蘇孝信,謝國榮,謝明圳,賴進坤,邱永双,鄭乾龍,釋楊悟空,魏嘉賢,黃振富,黃晨霖,何禮臺_黨籍,劉曉玫_黨籍,吳建志_黨籍,康木樹_黨籍,張峻_黨籍,張智冠_黨籍,張正治_黨籍,張錫銘_黨籍,徐雪玉_黨籍,方建興_黨籍,施慧萍_黨籍,施金樹_黨籍,李秋旺_黨籍,林宗昆_黨籍,林殷全_黨籍,楊文值_黨籍,楊華美_黨籍,江如玲_黨籍,游淑貞_黨籍,游美雲_黨籍,潘富民_黨籍,王燕美_黨籍,莊枝財_黨籍,葉鯤璟_黨籍,蔡秋龍_黨籍,蘇孝信_黨籍,謝國榮_黨籍,謝明圳_黨籍,賴進坤_黨籍,邱永双_黨籍,鄭乾龍_黨籍,釋楊悟空_黨籍,魏嘉賢_黨籍,黃振富_黨籍,黃晨霖_黨籍
吉安鄉,仁安村,,,124.0,28.0,48.0,,152.0,,232.0,,,,,,8.0,,,,108.0,110.0,,,,98.0,,,,2.0,,324.0,204.0,,,168.0,248.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,仁里村,,,354.0,92.0,106.0,,762.0,,412.0,,,,,,28.0,,,,378.0,366.0,,,,300.0,,,,10.0,,1346.0,532.0,,,416.0,374.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,光華村,,,170.0,22.0,28.0,,156.0,,194.0,,,,,,40.0,,,,134.0,48.0,,,,60.0,,,,2.0,,198.0,138.0,,,132.0,156.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,勝安村,,,414.0,118.0,136.0,,518.0,,298.0,,,,,,20.0,,,,608.0,248.0,,,,358.0,,,,22.0,,460.0,622.0,,,664.0,282.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,北昌村,,,696.0,136.0,144.0,,762.0,,346.0,,,,,,38.0,,,,1048.0,382.0,,,,344.0,,,,12.0,,374.0,576.0,,,1364.0,528.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,南昌村,,,254.0,54.0,88.0,,360.0,,252.0,,,,,,12.0,,,,220.0,212.0,,,,126.0,,,,2.0,,268.0,332.0,,,316.0,198.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,南華村,,,74.0,28.0,6.0,,72.0,,56.0,,,,,,0.0,,,,104.0,40.0,,,,84.0,,,,2.0,,114.0,388.0,,,196.0,58.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,吉安村,,,456.0,122.0,94.0,,320.0,,290.0,,,,,,18.0,,,,500.0,302.0,,,,222.0,,,,0.0,,674.0,806.0,,,418.0,256.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,太昌村,,,388.0,54.0,50.0,,354.0,,158.0,,,,,,10.0,,,,574.0,112.0,,,,114.0,,,,8.0,,232.0,702.0,,,226.0,90.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
吉安鄉,宜昌村,,,282.0,62.0,104.0,,510.0,,196.0,,,,,,14.0,,,,330.0,134.0,,,,202.0,,,,0.0,,370.0,420.0,,,366.0,238.0,中國國民黨,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,民主進步黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,民主進步黨,親民黨,中國國民黨,民主進步黨,中國國民黨
