行政區別,村里別,吳香蘭 Hisa‧Sakay,田韻馨,程美蓮,簡智隆,連一龍,金淑敏,高小成 Haisul．Tanapima,吳香蘭 Hisa‧Sakay_黨籍,田韻馨_黨籍,程美蓮_黨籍,簡智隆_黨籍,連一龍_黨籍,金淑敏_黨籍,高小成 Haisul．Tanapima_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
光復鄉,北富村,4.0,,,6.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,5,0,5,10,0,1,1
光復鄉,南富村,0.0,,,4.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,0,2,5,0,1,1
光復鄉,大全村,0.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,0,0,0,1,0,1,1
光復鄉,大同村,8.0,,,8.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,0,8,16,0,1,1
光復鄉,大安村,4.0,,,2.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,3,0,3,5,0,1,1
光復鄉,大富村,0.0,,,6.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,3,0,3,3,0,1,1
光復鄉,大平村,12.0,,,4.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,2,10,17,0,1,1
光復鄉,大興村,8.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,4,0,4,4,0,1,1
光復鄉,大華村,6.0,,,12.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,9,0,9,17,0,1,1
光復鄉,大豐村,10.0,,,4.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,7,0,7,14,0,1,1
光復鄉,大進村,4.0,,,4.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,4,0,4,7,0,1,1
光復鄉,大馬村,24.0,,,12.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,18,1,19,27,0,1,1
光復鄉,東富村,4.0,,,8.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,0,6,10,0,1,1
