行政區別,村里別,劉曉玫,徐榛蔚,黄師鵬,劉曉玫_黨籍,徐榛蔚_黨籍,黄師鵬_黨籍
壽豐鄉,豐坪村,228,890,34,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
壽豐鄉,豐山村,722,1698,46,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
壽豐鄉,豐裡村,462,1360,44,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
壽豐鄉,鹽寮村,206,456,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,吳江村,120,470,14,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,學田村,262,620,18,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,富南村,134,478,8,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,富里村,410,1212,32,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,新興村,168,616,8,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,明里村,102,408,4,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,東里村,294,952,14,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,永豐村,116,506,6,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,石牌村,224,956,10,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,竹田村,296,1242,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,羅山村,108,496,10,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,萬寧村,110,696,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
富里鄉,豐南村,114,604,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,佳林村,308,868,38,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,北埔村,1210,3352,126,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,嘉新村,310,1226,34,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,嘉里村,1010,3362,152,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,大漢村,684,2302,86,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,康樂村,884,2138,110,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,新城村,492,1220,42,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
新城鄉,順安村,534,634,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,三民里,320,796,18,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,中城里,1706,4498,140,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,啟模里,388,1478,36,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,國武里,448,1102,42,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,大禹里,234,1058,24,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,德武里,192,810,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,春日里,200,770,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,東豐里,96,504,10,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,松浦里,252,1250,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,樂合里,202,888,14,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,永昌里,284,1080,20,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,泰昌里,206,930,24,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,源城里,322,1190,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,觀音里,310,1344,50,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
玉里鎮,長良里,132,688,6,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,奇美村,36,366,2,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,富民村,102,914,12,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,富源村,206,746,28,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,富興村,230,592,10,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,瑞北村,122,600,4,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,瑞祥村,376,904,24,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,瑞穗村,674,1748,64,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,瑞美村,620,1710,36,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,瑞良村,194,548,18,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,舞鶴村,258,946,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
瑞穗鄉,鶴岡村,156,946,4,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,佳民村,186,1146,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,和平村,466,1610,18,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,富世村,634,1676,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,崇德村,222,1682,6,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
