縣市,行政區別,村里別,小民參政歐巴桑聯盟,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,不分區政黨有效票數A
花蓮縣,卓溪鄉,立山村,2,2,2,144,0,4,4,2,2,6,2,4,110,0,0,762,1046
花蓮縣,吉安鄉,仁和村,34,26,22,1352,4,32,10,22,30,44,14,10,1178,10,108,2760,5656
花蓮縣,吉安鄉,仁安村,28,4,6,638,2,10,2,4,26,6,10,2,682,2,38,1396,2856
花蓮縣,吉安鄉,仁里村,54,28,26,1300,4,42,8,26,70,40,24,24,1706,6,150,4150,7658
花蓮縣,吉安鄉,光華村,8,6,16,494,0,16,0,4,24,16,2,28,438,2,44,1394,2492
花蓮縣,吉安鄉,勝安村,48,30,18,1518,2,34,2,12,74,24,18,4,1736,6,156,3306,6988
花蓮縣,吉安鄉,北昌村,60,34,18,2046,4,62,12,26,68,16,44,8,2396,2,202,4578,9576
花蓮縣,吉安鄉,南昌村,48,12,26,1148,2,34,20,8,58,20,14,12,1032,4,102,2906,5446
花蓮縣,吉安鄉,南華村,4,8,4,328,2,10,0,16,32,8,6,6,588,0,18,910,1940
花蓮縣,吉安鄉,吉安村,54,20,32,1530,2,24,6,22,68,24,18,10,1508,2,122,3524,6966
花蓮縣,吉安鄉,太昌村,38,12,22,856,6,22,4,12,34,24,12,10,1208,4,70,2134,4468
花蓮縣,吉安鄉,宜昌村,38,10,16,1088,4,38,0,8,52,34,22,6,1242,6,112,2600,5276
花蓮縣,吉安鄉,干城村,12,4,0,218,0,16,0,2,14,8,0,0,216,2,4,888,1384
花蓮縣,吉安鄉,慶豐村,66,18,32,2114,4,50,10,24,66,42,22,4,2264,4,182,4480,9382
花蓮縣,吉安鄉,東昌村,34,30,22,1532,6,62,12,22,72,24,14,4,1318,8,114,3844,7118
花蓮縣,吉安鄉,永安村,50,14,22,1140,8,32,6,6,42,30,18,2,1314,4,124,2806,5618
花蓮縣,吉安鄉,永興村,18,18,18,782,8,28,2,2,38,20,10,10,744,4,60,1974,3736
花蓮縣,吉安鄉,福興村,30,14,4,894,2,18,2,16,58,26,30,4,976,6,90,1824,3994
