行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,有效票數A,無效票數B,投票數C,選舉人數G,已領未投票數D,發出票數E,用餘票數F,投票率H
豐濱鄉,靜浦村,柯文哲/吳欣盈,350,783,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,630,630,6,636,1234,0,6,2,0
鳳林鎮,北林里,柯文哲/吳欣盈,350,717,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,744,744,14,758,1042,0,6,2,0
鳳林鎮,南平里,柯文哲/吳欣盈,350,720,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,632,632,8,640,1020,0,6,2,0
鳳林鎮,大榮里,柯文哲/吳欣盈,350,1425,賴清德/蕭美琴,民主進步黨,18,侯友宜/趙少康,中國國民黨,1514,1514,16,1530,2410,0,9,3,0
鳳林鎮,山興里,柯文哲/吳欣盈,350,1413,賴清德/蕭美琴,民主進步黨,18,侯友宜/趙少康,中國國民黨,660,660,12,672,1086,0,9,3,0
鳳林鎮,林榮里,柯文哲/吳欣盈,350,723,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1044,1044,4,1048,1524,0,6,2,0
鳳林鎮,森榮里,柯文哲/吳欣盈,350,729,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,112,112,0,112,164,0,6,2,0
鳳林鎮,長橋里,柯文哲/吳欣盈,350,726,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1124,1124,16,1140,1810,0,6,2,0
鳳林鎮,鳳仁里,柯文哲/吳欣盈,350,687,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1588,1588,14,1602,2284,0,6,2,0
鳳林鎮,鳳信里,柯文哲/吳欣盈,350,1401,賴清德/蕭美琴,民主進步黨,18,侯友宜/趙少康,中國國民黨,1668,1668,12,1680,2600,0,9,3,0
鳳林鎮,鳳智里,柯文哲/吳欣盈,350,696,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,1354,1354,6,1360,1970,0,6,2,0
鳳林鎮,鳳禮里,柯文哲/吳欣盈,350,693,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,802,802,2,804,1060,0,6,2,0
鳳林鎮,鳳義里,柯文哲/吳欣盈,350,690,賴清德/蕭美琴,民主進步黨,12,侯友宜/趙少康,中國國民黨,800,800,10,810,1164,0,6,2,0
