行政區別,村里別,徐榛蔚,谷辣斯．尤達卡 Kolas Yotaka,黄師鵬,徐榛蔚_黨籍,谷辣斯．尤達卡 Kolas Yotaka_黨籍,黄師鵬_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
吉安鄉,稻香村,2240,1032,170,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1721,30,1751,3112,0,1,2
壽豐鄉,光榮村,618,380,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,510,8,518,749,0,1,2
壽豐鄉,共和村,626,296,42,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,482,8,490,709,0,1,2
壽豐鄉,壽豐村,1190,758,60,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1004,21,1025,1575,0,1,2
壽豐鄉,平和村,970,654,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,828,25,853,1361,0,1,2
壽豐鄉,志學村,1736,1228,116,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1540,38,1578,2451,0,1,2
壽豐鄉,月眉村,752,312,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,541,9,550,802,0,1,2
壽豐鄉,樹湖村,246,138,2,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,193,7,200,324,0,1,2
壽豐鄉,水璉村,580,214,16,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,405,17,422,666,0,1,2
壽豐鄉,池南村,552,352,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,468,19,487,703,0,1,2
壽豐鄉,溪口村,768,414,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,602,11,613,978,0,1,2
壽豐鄉,米棧村,262,102,12,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,188,9,197,259,0,1,2
壽豐鄉,豐坪村,716,262,30,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,504,12,516,857,0,1,2
壽豐鄉,豐山村,1544,724,68,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1168,26,1194,1812,0,1,2
壽豐鄉,豐裡村,1068,420,42,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,765,23,788,1263,0,1,2
壽豐鄉,鹽寮村,390,250,36,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,338,12,350,490,0,1,2
富里鄉,吳江村,428,116,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,281,6,287,452,0,1,2
富里鄉,學田村,548,254,8,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,405,13,418,594,0,1,2
