行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,有效票數A,無效票數B,投票數C,選舉人數G,已領未投票數D,發出票數E,用餘票數F,投票率H
光復鄉,北富村,宋楚瑜/余湘,親民黨,729,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1144,1144,6,1150,1784,0,6,2,0
光復鄉,南富村,宋楚瑜/余湘,親民黨,726,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1068,1068,2,1070,1664,0,6,2,0
光復鄉,大全村,宋楚瑜/余湘,親民黨,1473,韓國瑜/張善政,中國國民黨,18,蔡英文/賴清德,民主進步黨,934,934,8,942,1490,0,9,3,0
光復鄉,大同村,宋楚瑜/余湘,親民黨,711,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1292,1292,16,1308,1998,0,6,2,0
光復鄉,大安村,宋楚瑜/余湘,親民黨,702,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1178,1178,0,1178,1648,0,6,2,0
光復鄉,大富村,宋楚瑜/余湘,親民黨,744,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,376,376,0,376,618,0,6,2,0
光復鄉,大平村,宋楚瑜/余湘,親民黨,705,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1168,1168,12,1180,1840,0,6,2,0
光復鄉,大興村,宋楚瑜/余湘,親民黨,741,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,534,534,4,538,916,0,6,2,0
光復鄉,大華村,宋楚瑜/余湘,親民黨,699,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1672,1672,24,1696,2506,0,6,2,0
光復鄉,大豐村,宋楚瑜/余湘,親民黨,747,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,502,502,4,506,878,0,6,2,0
光復鄉,大進村,宋楚瑜/余湘,親民黨,732,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,618,618,4,622,908,0,6,2,0
光復鄉,大馬村,宋楚瑜/余湘,親民黨,708,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,1192,1192,20,1212,1932,0,6,2,0
光復鄉,東富村,宋楚瑜/余湘,親民黨,1431,韓國瑜/張善政,中國國民黨,18,蔡英文/賴清德,民主進步黨,1184,1184,12,1196,1952,0,9,3,0
光復鄉,西富村,宋楚瑜/余湘,親民黨,1443,韓國瑜/張善政,中國國民黨,18,蔡英文/賴清德,民主進步黨,1174,1174,10,1184,1864,0,9,3,0
卓溪鄉,卓清村,宋楚瑜/余湘,親民黨,1923,韓國瑜/張善政,中國國民黨,18,蔡英文/賴清德,民主進步黨,1150,1150,6,1156,2004,0,9,3,0
卓溪鄉,卓溪村,宋楚瑜/余湘,親民黨,957,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,910,910,10,920,1452,0,6,2,0
卓溪鄉,古風村,宋楚瑜/余湘,親民黨,2907,韓國瑜/張善政,中國國民黨,24,蔡英文/賴清德,民主進步黨,1102,1102,12,1114,1788,0,12,4,0
卓溪鄉,太平村,宋楚瑜/余湘,親民黨,954,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,858,858,14,872,1324,0,6,2,0
卓溪鄉,崙山村,宋楚瑜/余湘,親民黨,945,韓國瑜/張善政,中國國民黨,12,蔡英文/賴清德,民主進步黨,612,612,10,622,1032,0,6,2,0
