行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,80472,172094,437684,690250,9994,700244,0,700244,432170,1132414,61.84
斗六市,,14726,32922,61322,108970,1450,110420,0,110420,59082,169502,65.14
,忠孝里,218,568,1062,1848,12,1860,0,1860,962,2822,65.91
,仁愛里,200,438,806,1444,28,1472,0,1472,614,2086,70.57
,信義里,142,232,538,912,16,928,0,928,398,1326,69.98
,四維里,88,280,480,848,8,856,0,856,392,1248,68.59
,太平里,118,354,566,1038,10,1048,0,1048,518,1566,66.92
,中和里,124,328,668,1120,20,1140,0,1140,446,1586,71.88
,光興里,140,272,568,980,14,994,0,994,548,1542,64.46
,三平里,820,1936,2676,5432,68,5500,0,5500,3030,8530,64.48
,八德里,522,1132,2332,3986,48,4034,0,4034,2082,6116,65.96
,鎮北里,484,1202,1852,3538,48,3586,0,3586,1816,5402,66.38
,龍潭里,262,624,1306,2192,14,2206,0,2206,1030,3236,68.17
,鎮南里,574,1590,2130,4294,32,4326,0,4326,2494,6820,63.43
,林頭里,820,1660,2680,5160,72,5232,0,5232,2670,7902,66.21
,重光里,406,682,1684,2772,44,2816,0,2816,1640,4456,63.2
,溝埧里,84,296,412,792,18,810,0,810,396,1206,67.16
,江厝里,364,656,1454,2474,48,2522,0,2522,1576,4098,61.54
,三光里,46,158,488,692,14,706,0,706,370,1076,65.61
,崙峯里,476,1058,1436,2970,32,3002,0,3002,1458,4460,67.31
,嘉東里,226,408,976,1610,36,1646,0,1646,928,2574,63.95
,久安里,314,994,1594,2902,46,2948,0,2948,1526,4474,65.89
,長平里,218,538,1310,2066,24,2090,0,2090,1120,3210,65.11
,保庄里,924,1840,3674,6438,72,6510,0,6510,3220,9730,66.91
,虎溪里,820,1952,3608,6380,94,6474,0,6474,3650,10124,63.95
,梅林里,260,590,1398,2248,40,2288,0,2288,1188,3476,65.82
,湖山里,184,324,984,1492,12,1504,0,1504,806,2310,65.11
,榴中里,656,1270,3206,5132,76,5208,0,5208,3120,8328,62.54
,榴北里,140,250,872,1262,22,1284,0,1284,870,2154,59.61
,榴南里,296,508,1306,2110,18,2128,0,2128,1300,3428,62.08
,溪洲里,514,880,2284,3678,50,3728,0,3728,2070,5798,64.3
,長安里,448,824,2216,3488,40,3528,0,3528,1912,5440,64.85
