行政區別,村里別,1_宋楚瑜/余湘,10-009_1_黨籍,2_韓國瑜/張善政,10-009_2_黨籍,3_蔡英文/賴清德,10-009_3_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
斗六市,忠孝里,58,親民黨,836,中國國民黨,1268,民主進步黨,2162,26,2188,0,2188,590,2778,78.76
斗六市,仁愛里,58,親民黨,662,中國國民黨,986,民主進步黨,1706,30,1736,0,1736,416,2152,80.67
斗六市,信義里,32,親民黨,362,中國國民黨,578,民主進步黨,972,12,984,0,984,268,1252,78.59
斗六市,四維里,24,親民黨,354,中國國民黨,548,民主進步黨,926,12,938,0,938,262,1200,78.17
斗六市,太平里,62,親民黨,450,中國國民黨,644,民主進步黨,1156,12,1168,0,1168,330,1498,77.97
斗六市,中和里,36,親民黨,422,中國國民黨,752,民主進步黨,1210,20,1230,0,1230,314,1544,79.66
斗六市,光興里,50,親民黨,384,中國國民黨,630,民主進步黨,1064,8,1072,0,1072,404,1476,72.63
斗六市,三平里,320,親民黨,2982,中國國民黨,3570,民主進步黨,6872,88,6960,0,6960,2128,9088,76.58
斗六市,八德里,208,親民黨,1716,中國國民黨,2604,民主進步黨,4528,84,4612,0,4612,1506,6118,75.38
斗六市,鎮北里,196,親民黨,1784,中國國民黨,2194,民主進步黨,4174,50,4224,0,4224,1086,5310,79.55
斗六市,龍潭里,102,親民黨,994,中國國民黨,1538,民主進步黨,2634,50,2684,0,2684,696,3380,79.41
斗六市,鎮南里,214,親民黨,2278,中國國民黨,2574,民主進步黨,5066,74,5140,0,5140,1614,6754,76.1
斗六市,林頭里,278,親民黨,2544,中國國民黨,3278,民主進步黨,6100,70,6170,0,6170,1874,8044,76.7
斗六市,重光里,142,親民黨,1144,中國國民黨,2000,民主進步黨,3286,44,3330,0,3330,1220,4550,73.19
斗六市,溝垻里,48,親民黨,408,中國國民黨,520,民主進步黨,976,12,988,0,988,276,1264,78.16
斗六市,江厝里,120,親民黨,1140,中國國民黨,1816,民主進步黨,3076,42,3118,0,3118,1098,4216,73.96
